algorithm,accuracy,precision,recall,f1-score
Logistic Regression,0.8604,0.8622291021671826,0.8669260700389105,0.8645712068296469
Decision Tree,0.7184,0.7359870024370431,0.7050583657587549,0.7201907790143085
